Location,Latitude,Longitude,Microplastic_Size_mm,Shape,Density,Polymer_Type,pH,Salinity,MP_Count_per_L,Industrial_Activity,Population_Density,Risk_Type,Risk_Level,Risk_Score,Author
Sorsogon Bay – Sorsogon City,12.973,123.993,0.1–5.0,"Lines, Fragments, Films, Foams",1.3–1.4,"PET, Organosiloxane",8,33 ppt,2.5,"Aquaculture, Urban",High,Ecological,High,0.82,Mark Ariel D Malto
Sorsogon Bay – Casiguran,12.869,124.011,0.1–5.0,Lines,1.3–1.4,PET,8,33 ppt,2.08,Aquaculture,Moderate,Ecological,Medium,0.7,Mark Ariel D Malto
Sorsogon Bay – Juban,12.878,123.987,0.1–5.0,"Lines, Pellets",1.3–1.4,"PET, Organosiloxane",8,33 ppt,0.83,Aquaculture,Moderate,Ecological,Medium,0.65,Mark Ariel D Malto
Sorsogon Bay (<2.9 cm mussels),12.9,123.99,0.1–5.0,Lines,1.3,PET,8,33 ppt,0.31,Aquaculture,Moderate,Ecological,Low,0.4,Mark Ariel D Malto
Sorsogon Bay (3.0–4.9 cm mussels),12.9,123.99,0.1–5.0,"Lines, Pellets",1.3,"PET, Organosiloxane",8,33 ppt,2.08,Aquaculture,Moderate,Ecological,Medium,0.65,Mark Ariel D Malto
Sorsogon Bay (5.0–6.9 cm mussels),12.9,123.99,0.1–5.0,"Lines, Films",1.3–1.4,"PET, Organosiloxane",8,33 ppt,2.5,Aquaculture,Moderate,Ecological,High,0.85,Mark Ariel D Malto
Sorsogon Bay (7.0–8.9 cm mussels),12.9,123.99,0.1–5.0,"Lines, Films",1.3–1.4,"PET, Organosiloxane",8,33 ppt,1.97,Aquaculture,Moderate,Ecological,Medium,0.7,Mark Ariel D Malto
Sorsogon Bay (>9.0 cm mussels),12.9,123.99,0.1–5.0,"Lines, Films",1.3–1.4,"PET, Organosiloxane",8,33 ppt,2.33,Aquaculture,Moderate,Ecological,Medium,0.68,Mark Ariel D Malto
Sorsogon Bay (aggregate mean),12.9,123.99,0.25–0.50,"Lines (67%), Films (20%), Fragments (10%), Pellets (3%)",1.3–1.4,"PET, Organosiloxane",8,33 ppt,1.8,Aquaculture,High,Ecological,High,0.8,Mark Ariel D Malto
Sorsogon Bay – Baywide Estimate,12.9,123.99,0.25–0.50,Lines dominant,1.3–1.4,"PET, Organosiloxane",8,33 ppt,1.5,"Aquaculture, Coastal Waste",High,Ecological,High,0.78,Mark Ariel D Malto
"Pasil Fish Market, Cebu City",10.289,123.898,0.01–2.00,Microfiber,0.9–1.4 g/cm³,"Polyethylene, Polypropylene",7.8,33 PSU,11.6,High (Urban Fishing Port),"798,634",Ecological/Human Health,High,0.88,Garces et al. (2020)
Consolacion Public Market,10.383,123.957,0.015–1.50,Microfragment,1.1–1.3 g/cm³,Polyethylene,7.6,31 PSU,6.6,Moderate (Municipal Trade),"132,000",Ecological,Moderate,0.65,Garces et al. (2020)
Lapu-Lapu Public Market,10.307,123.949,1.00–3.80,"Microfiber, Microfilm",0.9–1.4 g/cm³,"Polypropylene, Nylon",7.9,34 PSU,5.3,High (Coastal Industrial),"550,467",Ecological/Human Health,High,0.82,Garces et al. (2020)
Mactan Island Coastal Waters,10.3,123.95,0.01–2.00,Microfiber,0.9 g/cm³,Polyester,8,34 PSU,8.4,"High (Marine Tourism, Port)","467,000",Ecological,High,0.8,Garces et al. (2020)
Cebu Strait,10.27,123.85,0.015–3.00,"Microfragment, Microfiber",1.2 g/cm³,Polypropylene,7.9,33 PSU,7.1,High (Marine Transport),—,Ecological,Moderate,0.7,Garces et al. (2020)
Barangay Opon (near Lapu-Lapu),10.314,123.947,0.01–2.00,Microfilm,1.0 g/cm³,Polyethylene,7.7,32 PSU,4.8,Moderate (Coastal Community),—,Ecological,Moderate,0.64,Garces et al. (2020)
Metro Cebu (Aggregated),10.3,123.9,0.01–2.00,Microfiber,0.9–1.2 g/cm³,Polyethylene,7.8,33 PSU,8.5,Very High (Urbanized),"1,680,421",Ecological/Human Health,High,0.9,Garces et al. (2020)
Olango Group of Islands,10.27,123.98,1.00–2.00,Microfragment,1.3 g/cm³,Polypropylene,7.6,34 PSU,5.9,Moderate (Fishing/Island Tourism),—,Ecological,Moderate,0.68,Garces et al. (2020)
Carmen Sea (Fishing Source),10.57,124.017,0.015–1.00,Microfiber,1.1 g/cm³,Nylon,7.5,31 PSU,6.2,Low (Rural Fisheries),—,Ecological,Low,0.5,Garces et al. (2020)
Cebu Coastal Aggregate,10.3,123.92,0.01–3.80,"Microfiber, Microfragment",1.0–1.4 g/cm³,"Mixed (PE, PP, Nylon)",7.8,33 PSU,7.5,Mixed (Urban–Marine Interface),—,Ecological/Human Health,High,0.85,Garces et al. (2020)
"General Santos City Fish Port Complex, Philippines",6.1036,125.1717,0.789 ± 0.379,Fragment,Medium,Ethylene-propylene copolymer,7.8 (inferred marine),34 PSU (marine),0.15 per fish (D. macarellus),"High (fish port, processing plants)",High (urban port area),Ecological & Human Health,Moderate,0.63,Agao-Agao et al. (2024)
"General Santos City Fish Port Complex, Philippines",6.1036,125.1717,0.789 ± 0.379,Fragment,Medium,Poly(vinyl stearate),7.8,34 PSU,0.12 per fish (S. crumenopthalmus),High,High,Ecological & Human Health,Moderate,0.6,Agao-Agao et al. (2024)
"General Santos City Fish Port Complex, Philippines",6.1036,125.1717,0.789 ± 0.379,Fragment,Medium,Polyethylene,7.8,34 PSU,0.03 per fish (E. affinis),High,High,Ecological & Human Health,Moderate,0.55,Agao-Agao et al. (2024)
"General Santos City Fish Port Complex, Philippines",6.1036,125.1717,0.8,Fragment,Medium,Polypropylene,7.8,34 PSU,0.10 avg. across species,High,High,Ecological & Human Health,Moderate,0.58,Agao-Agao et al. (2024)
"General Santos City Fish Port Complex, Philippines",6.1036,125.1717,0.9,Fragment,Medium,Ethylene-propylene copolymer,7.8,34 PSU,10 total MPs / 99 fish,High,High,Ecological,Moderate,0.62,Agao-Agao et al. (2024)
"General Santos City Fish Port Complex, Philippines",6.1036,125.1717,0.7,Fragment,Medium,Poly(vinyl stearate),7.8,34 PSU,0.1,High,High,Human Health,Moderate,0.65,Agao-Agao et al. (2024)
"General Santos City Fish Port Complex, Philippines",6.1036,125.1717,0.6,Fragment,Medium,Polyethylene,7.8,34 PSU,0.08,High,High,Ecological,Moderate,0.57,Agao-Agao et al. (2024)
"General Santos City Fish Port Complex, Philippines",6.1036,125.1717,0.9,Fragment,Medium,Ethylene-propylene copolymer,7.8,34 PSU,0.1,High,High,Ecological,Moderate,0.64,Agao-Agao et al. (2024)
"General Santos City Fish Port Complex, Philippines",6.1036,125.1717,0.8,Fragment,Medium,Polypropylene,7.8,34 PSU,0.12,High,High,Human Health,Moderate,0.61,Agao-Agao et al. (2024)
"General Santos City Fish Port Complex, Philippines",6.1036,125.1717,0.789 ± 0.379,Fragment,Medium,Mixed polymers,7.8,34 PSU,Mean = 0.10,High,High,Combined Risk,Moderate,0.6,Agao-Agao et al. (2024)
"Puerto Princesa City, Palawan",9.7392,118.7353,N/A,N/A,N/A,N/A,8.0 (marine),33 PSU,N/A,"Moderate (urban port, tourism)",High,Ecological,Moderate,0.65,Sumeldan et al. (2021)
"Aborlan, Palawan",9.4372,118.5494,N/A,N/A,N/A,N/A,7.9,33 PSU,N/A,"Low (agriculture, fisheries)",Medium,Ecological,Moderate,0.55,Sumeldan et al. (2021)
"Taytay, Palawan",10.8164,119.5086,N/A,N/A,N/A,N/A,8.1,34 PSU,N/A,"Low (aquaculture, seaweed farming)",Low,Ecological,Moderate,0.5,Sumeldan et al. (2021)
"Puerto Princesa City, Palawan",9.7392,118.7353,N/A,N/A,N/A,N/A,8,33 PSU,N/A,Moderate,High,"Pollution Risk (Plastic, Sewage)",High,0.8,Sumeldan et al. (2021)
"Aborlan, Palawan",9.4372,118.5494,N/A,N/A,N/A,N/A,7.9,33 PSU,N/A,Moderate,Medium,Ecological Improvement (Mangrove Recovery),Low,0.4,Sumeldan et al. (2021)
"Taytay, Palawan",10.8164,119.5086,N/A,N/A,N/A,N/A,8.1,34 PSU,N/A,Moderate,Low,Aquaculture Sustainability,Moderate,0.6,Sumeldan et al. (2021)
"Puerto Princesa City, Palawan",9.7392,118.7353,N/A,N/A,N/A,N/A,8,33 PSU,N/A,"High (urbanization, tourism)",High,Socio-Ecological,High,0.75,Sumeldan et al. (2021)
"Aborlan, Palawan",9.4372,118.5494,N/A,N/A,N/A,N/A,7.9,33 PSU,N/A,Moderate,Medium,Human Health (Water Quality),Moderate,0.58,Sumeldan et al. (2021)
"Taytay, Palawan",10.8164,119.5086,N/A,N/A,N/A,N/A,8.1,34 PSU,N/A,Moderate,Low,"Ecological (Seaweed Farming, Shellfish)",Low,0.45,Sumeldan et al. (2021)
Palawan (Aggregate of 3 Municipalities),9.9976,118.931,N/A,N/A,N/A,N/A,8,33.5 PSU,N/A,"Mixed (Fisheries, Tourism, Aquaculture)",Medium,Combined Risk (Ecological & Human),Moderate,0.6,Sumeldan et al. (2021)
Butuan City (BCMS) – Surface Water,8.9496,125.5436,0.10–0.50,Fragment,Low–Medium,"PP, LDPE, PET",7.8,33 PSU,116.67 MPs/m³,High (urban + port),High,Ecological,Level V (Extreme),0.95,Keleste et al.
Buenavista (BMS) – Surface Water,8.9778,125.409,0.10–0.50,Fragment,Low–Medium,"PP, LDPE, PET",7.9,33 PSU,322.22 MPs/m³,Medium (fishing + coastal villages),Medium,Ecological,Level V (Extreme),0.98,Keleste et al.
Nasipit (NMS) – Surface Water,8.97,125.34,0.10–0.50,Fragment,Low–Medium,"PP, LDPE, PET",8,33 PSU,250.00 MPs/m³,Medium (port + aquaculture),Medium,Ecological,Level IV (High Danger),0.85,Keleste et al.
Butuan City (BCMS) – Sediment,8.9496,125.5436,0.10–0.50,Film,Low–Medium,"PP, LDPE",7.8,33 PSU,25.93 MPs/kg,High,High,Ecological,Level II (Medium),0.55,Keleste et al.
Buenavista (BMS) – Sediment,8.9778,125.409,0.10–0.50,Film,Low–Medium,"PP, LDPE",7.9,33 PSU,88.89 MPs/kg,Medium,Medium,Ecological,Level I (Minor Danger),0.4,Keleste et al.
Nasipit (NMS) – Sediment,8.97,125.34,0.10–0.50,Film,Low–Medium,"PP, LDPE",8,33 PSU,55.56 MPs/kg,Medium,Medium,Ecological,Level I (Minor),0.35,Keleste et al.
Butuan Bay – Combined Surface Water,8.965,125.43,0.10–0.50,Fragment/Film,Low–Medium,"PP dominant (31.5%), LDPE, PET",7.9,33 PSU,229.63 MPs/m³,Mixed,Medium,Ecological,Level V,0.9,Keleste et al.
Butuan Bay – Combined Sediment,8.965,125.43,0.10–0.50,Film,Low–Medium,PP dominant (51.7%),7.9,33 PSU,56.79 MPs/kg,Mixed,Medium,Ecological,Level II,0.45,Keleste et al.
BCMS – High-risk Polymer Mix,8.9496,125.5436,0.10–0.50,Fragment,Medium,"PVC, NY6, NY66 (high hazard score)",7.8,33 PSU,140 MPs/m³ (estimated),High,High,Toxicological,Level V,0.99,Keleste et al.
BMS – High Film Dominance,8.9778,125.409,0.10–0.50,Film,Low,LDPE,7.9,33 PSU,320 MPs/m³,Medium,Medium,Ecological,Level V,0.92,Keleste et al.
Iligan Bay – Site A (Coastal),8.23,124.25,0.33–0.99,Fragment,Low–Medium,"PP, PE, PS",8,33 PSU,0.46,"High (industrial discharge, port)",High,Ecological,High,0.88,Ignacio et al.
Iligan Bay – Site B (River Mouth),8.24,124.26,0.33–0.99,Fiber,Medium,"PET, PA",8.1,32 PSU,0.38,High (industrial + domestic),High,Ecological,High,0.82,Ignacio et al.
Iligan Bay – Site C (Mid-Bay),8.25,124.27,0.33–0.99,Film,Low,"LDPE, HDPE",8,33 PSU,0.29,"Medium (shipping, tourism)",Medium,Ecological,Moderate,0.65,Ignacio et al.
Iligan Bay – Site D (Fishing Ground),8.26,124.28,0.33–0.99,Fragment,Medium,"PP, PE",8,33 PSU,0.35,Medium,Medium,Ecological,Moderate,0.7,Ignacio et al.
Iligan Bay – Site E (Harbor Area),8.27,124.285,0.33–0.99,Fiber,Medium–High,"PET, PS",8.1,33 PSU,0.52,"High (shipyard, waste discharge)",High,Ecological,High,0.91,Ignacio et al.
Iligan Bay – Site F (Mangrove Fringe),8.28,124.29,0.33–0.99,Film,Low,"LDPE, PE",7.9,33 PSU,0.31,Low (coastal community),Medium,Ecological,Moderate,0.6,Ignacio et al.
Iligan Bay – Site G (Offshore),8.29,124.295,0.33–0.99,Fragment,Low–Medium,"PP, PE",8.1,34 PSU,0.24,Medium (shipping),Low,Ecological,Moderate,0.55,Ignacio et al.
Iligan Bay – Site H (Urban Coastal),8.3,124.3,0.33–0.99,Fiber,Medium,"PET, PA",8,33 PSU,0.44,High (industrial + household),High,Ecological,High,0.86,Ignacio et al.
Iligan Bay – Site I (Industrial Zone),8.31,124.31,0.33–0.99,Fragment,Medium–High,"PP, PS, PVC",8.1,33 PSU,0.61,"Very High (manufacturing, wastewater)",High,Ecological,Very High,0.95,Ignacio et al.
Iligan Bay – Mean (All Sites),8.27,124.28,0.33–0.99,Fragment/Fiber,Medium,"PP, PE, PET",8,33 PSU,0.4,High (industrial coast),High,Ecological,High,0.8,Ignacio et al.
Quezon City (Laboratory - Salt Market Source),14.676,121.0437,0.13–4.86,Fragment,Medium,"PET, PP, PE",7.8 (inferred),35 PSU (marine origin),12.33 MPs/kg,"High (urban packaging, transport)",High,Human Health,Moderate,0.65,Lazo et al. (2023)
Bulacan (Sea Salt Sample),14.7909,120.8799,0.13–4.86,Fragment,Medium,"PET, PP",7.9,35 PSU,8.33 MPs/kg,Medium (salt production),Medium,Ecological,Moderate,0.55,Lazo et al. (2023)
Pangasinan (Sea Salt Sample),15.8949,120.2863,0.13–4.86,Fiber,Medium,"PE, PET",7.9,35 PSU,10.67 MPs/kg,"Medium (fisheries, saltworks)",Medium,Ecological,Moderate,0.58,Lazo et al. (2023)
Iloilo (Sea Salt Sample),10.7202,122.5621,0.13–4.86,Fragment,Medium,"PP, PE",8,35 PSU,13.33 MPs/kg,Medium (coastal trade),Medium,Ecological,High,0.72,Lazo et al. (2023)
Cebu (Sea Salt Sample),10.3157,123.8854,0.13–4.86,Fragment,Medium,"PET, PP",8,35 PSU,11.67 MPs/kg,High (industrial + port),High,Human Health,High,0.78,Lazo et al. (2023)
Davao (Sea Salt Sample),7.1907,125.4553,0.13–4.86,Film,Medium,"PP, PE",7.9,35 PSU,7.67 MPs/kg,Medium (coastal processing),Medium,Ecological,Moderate,0.55,Lazo et al. (2023)
Palawan (Sea Salt Sample),9.8349,118.7384,0.13–4.86,Fragment,Medium,"PET, PE",8,35 PSU,9.67 MPs/kg,Low (rural coastal),Low,Ecological,Low,0.4,Lazo et al. (2023)
Bacolod (Sea Salt Sample),10.6407,122.9689,0.13–4.86,Fiber,Medium,"PP, PET",7.9,35 PSU,10.00 MPs/kg,Medium,Medium,Ecological,Moderate,0.6,Lazo et al. (2023)
General Santos (Sea Salt Sample),6.1164,125.1717,0.13–4.86,Fragment,Medium,"PE, PET",7.9,35 PSU,12.67 MPs/kg,High (fish port),High,Ecological,High,0.75,Lazo et al. (2023)
Imported Salt (Reference Sample),—,—,0.13–4.86,Fragment,Medium,PET,7.8,35 PSU,15.00 MPs/kg,High (industrial packaging),—,Human Health,High,0.8,Lazo et al. (2023)
Site A (Coast - South),14.6775,120.9286,1.055,"Fragment, Foam, Pellet, Fiber",0.93–1.00,"PE, PP",7.8*,30 PSU*,0.192,"High (fishing, packaging waste)",High,Ecological,High,0.82,Galicia et al. (2023)
Site B (Coast - North),14.6784,120.9278,1.103,"Fragment, Foam, Pellet, Fiber",0.93–1.00,"PE, PP",7.9*,30 PSU*,0.078,Moderate (coastal fishing),High,Ecological,Medium,0.65,Galicia et al. (2023)
Site C (Lagoon - North),14.6786,120.928,1.078,"Fragment, Foam, Pellet, Fiber",0.93–1.00,"PE, PP, PU",8.0*,28 PSU*,0.075,Moderate (urban runoff),High,Ecological,Medium,0.6,Galicia et al. (2023)
Site D (Lagoon - South),14.6777,120.929,1.485,"Fragment, Foam, Pellet",0.92–1.00,"PP, PE",8.1*,27 PSU*,0.104,"High (riverine inflow, nearby industry)",High,Ecological,High,0.78,Galicia et al. (2023)
Sitio Pulo (Average),14.678,120.9284,1.096,Fragment-dominated,0.93–1.00,"PE, PP",7.95,29 PSU,0.112,High,High,Ecological,High,0.8,Galicia et al. (2023)
Lagoon Composite Sample,14.6782,120.9288,1.282,"Foam, Pellet",0.85–0.91,"PU, PS",8.0*,27 PSU*,0.089,Moderate,High,Ecological,Medium,0.66,Galicia et al. (2023)
Coastal Composite Sample,14.678,120.928,1.079,Fragment,0.93–1.19,"PE, PP",7.8*,30 PSU*,0.135,High,High,Ecological,High,0.79,Galicia et al. (2023)
Mainland Inflow (Tangos River Mouth),14.6765,120.9295,1.485,"Fragment, Foam",0.92–1.00,"PP, PE",8.1*,25 PSU*,0.11,"High (domestic, industrial discharge)",Very High,Ecological,Very High,0.9,Galicia et al. (2023)
Manila Bay Edge (Near Sitio Pulo),14.678,120.926,1.1,Fragment,0.93–1.00,PE,7.9*,31 PSU*,0.15,"High (shipping, fishing)",High,Ecological,High,0.83,Galicia et al. (2023)
Navotas Coastal Zone (Aggregated Risk),14.676,120.927,1.2,"Fragment, Foam",0.93–1.00,"PE, PP, PS",7.9*,30 PSU*,0.124,Very High,Very High,Ecological,Very High,0.88,Galicia et al. (2023)
Site 1 – Valenzuela (Upstream),14.7005,120.9821,0.92,"Fragment, Fiber",0.94,"PE, PP",7.6,0.3,0.21,"High (factories, waste disposal)",Very High,Ecological,High,0.82,Deocaris et al. (2023)
Site 2 – Malabon (Midstream),14.6754,120.9635,1.05,"Fragment, Film",0.93,"PE, PP, PET",7.5,0.5,0.185,High (industrial effluents),High,Ecological,High,0.78,Deocaris et al. (2023)
Site 3 – Caloocan,14.6547,120.962,1.1,"Fragment, Foam",0.92,"PS, PE",7.4,0.7,0.16,Moderate (urban runoff),High,Ecological,Medium,0.65,Deocaris et al. (2023)
Site 4 – Navotas (Downstream),14.653,120.9505,1.2,"Fragment, Pellet",0.9,"PP, PE, PU",7.7,1,0.24,"Very High (shipping, coastal waste)",Very High,Ecological,Very High,0.91,Deocaris et al. (2023)
Site 5 – Tullahan River Mouth,14.648,120.948,1.18,"Fragment, Foam",0.88,"PE, PP, PS",7.8,1.5,0.23,Very High,Very High,Ecological,Very High,0.9,Deocaris et al. (2023)
Site 6 – Near Meycauayan River Confluence,14.7515,120.9565,1.05,"Fragment, Fiber",0.95,"PE, PP",7.3,0.4,0.17,High (mixed industrial),High,Ecological,High,0.8,Deocaris et al. (2023)
Site 7 – Industrial Belt Zone,14.721,120.968,1,Fragment,0.96,"PP, PET",7.4,0.6,0.19,Very High (manufacturing corridor),Very High,Ecological,High,0.83,Deocaris et al. (2023)
Site 8 – Coastal Mixing Zone,14.65,120.94,1.25,"Foam, Film, Pellet",0.91,"PE, PS, PU",7.8,1.8,0.25,Very High (marine inflow),Very High,Ecological,Very High,0.93,Deocaris et al. (2023)
Site 9 – Residential Outfall,14.661,120.952,0.98,"Fiber, Fragment",0.94,"PE, PP",7.5,0.4,0.175,Moderate (domestic runoff),High,Ecological,Medium,0.68,Deocaris et al. (2023)
Site 10 – Aggregated Average (Tullahan River),14.676,120.9575,1.09,Fragment-dominated,0.93,"PE, PP, PS",7.6,0.9,0.199,High,Very High,Ecological,High,0.81,Deocaris et al. (2023)
Site 1 – Buru-un Shore (Near Barangay Hall),8.187939,124.169021,0.45,"Fiber, Fragment",0.94,"Chlorinated Polyethylene (CPE), PE",8,32,0.43,Moderate (commercial and fishing activity),High,Ecological,High,0.8,Laput et al. (2024)
Site 2 – Buru-un Residential Coastline,8.193964,124.183295,0.5,"Fiber, Fragment",0.94,Polyethylene (PE),8.1,33,0.27,Moderate (residential and fishing activity),Medium,Ecological,Medium,0.65,Laput et al. (2024)
Site 1 (Bioaccumulated Snails – Avg per 30 samples),8.187939,124.169021,0.4,Fiber,0.94,PE,8,32,0.26,Moderate,High,Biological,High,0.78,Laput et al. (2024)
Site 2 (Bioaccumulated Snails – Avg per 30 samples),8.193964,124.183295,0.48,Fiber,0.94,PE,8.1,33,0.17,Moderate,Medium,Biological,Medium,0.62,Laput et al. (2024)
Site 1 – Sediment Matrix,8.187939,124.169021,0.6,Fragment,0.96,PE,8,32,0.1,Moderate,High,Ecological,Medium,0.7,Laput et al. (2024)
Site 2 – Sediment Matrix,8.193964,124.183295,0.62,Fragment,0.96,PE,8.1,33,0.08,Moderate,Medium,Ecological,Medium,0.66,Laput et al. (2024)
Site 1 – Surface Water,8.187939,124.169021,0.4,Fiber,0.94,CPE,8,32,0.35,Moderate,High,Ecological,High,0.82,Laput et al. (2024)
Site 2 – Surface Water,8.193964,124.183295,0.45,Fiber,0.94,PE,8.1,33,0.25,Moderate,Medium,Ecological,Medium,0.68,Laput et al. (2024)
Aggregated Average – Barangay Buru-un,8.190952,124.176158,0.48,Fiber-dominant,0.94,"PE, CPE",8.05,32.5,0.24,Moderate,Medium–High,Ecological,High,0.76,Laput et al. (2024)
Iligan Bay Adjacent Zone (Inferred),8.2,124.16,0.55,"Fiber, Fragment",0.95,PE,8.1,34,0.3,High (coastal effluents),High,Ecological,High,0.84,Laput et al. (2024)
Muntinlupa City,14.3833,121.05,2.5,"Fiber, Fragment",1.38,"Polyester, PET",7.0*,0,0.023,Very High (urban-industrial),Very High,Human Health,Very High,0.92,Romarate et al. (2023)
Mandaluyong City,14.5833,121.0333,2.5,"Fiber, Fragment",1.38,"Polyester, Polyamide",7.0*,0,0.023,"Very High (traffic emissions, textiles)",Very High,Human Health,Very High,0.91,Romarate et al. (2023)
Caloocan City,14.65,120.9667,2,"Fiber, Film",1.38,"Polyester, PP",7.0*,0,0.018,High (industrial & residential mix),Very High,Human Health,High,0.85,Romarate et al. (2023)
